YIL;AY;URETIM_KAYNAGI;URETIM_MIKTARI
2020;1;Menemen - Çavuşköy Kuyuları;1694668
2020;1;Halkapınar Kuyuları;2652760
2020;1;Pınarbaşı Kuyuları;164958
2020;1;Buca ve Sarnıç Kuyuları;79351
2020;1;Gördes Barajı;3159661
2020;1;Göksu Kuyuları;4267521
2019;12;Tahtalı Barajı;6435900
2019;12;Balçova Barajı;0
2019;12;Sarıkız Kuyuları;0
2019;12;Menemen - Çavuşköy Kuyuları;1732312
2019;12;Halkapınar Kuyuları;2693012
2019;12;Pınarbaşı Kuyuları;158203
2019;12;Buca ve Sarnıç Kuyuları;85124
2019;12;Gördes Barajı;3272121
2019;12;Göksu Kuyuları;4238524
2019;11;Tahtalı Barajı;6808600
2019;11;Balçova Barajı;0
2019;11;Sarıkız Kuyuları;932343
2019;11;Menemen - Çavuşköy Kuyuları;1639374
2019;11;Halkapınar Kuyuları;2688720
2019;11;Pınarbaşı Kuyuları;156021
2019;11;Buca ve Sarnıç Kuyuları;89061
2019;11;Gördes Barajı;1078097
2019;11;Göksu Kuyuları;5132160
2019;10;Tahtalı Barajı;7489400
2019;10;Balçova Barajı;389200
2019;10;Ürkmez Barajı;96821
2019;10;Sarıkız Kuyuları;1807312
2019;10;Menemen - Çavuşköy Kuyuları;1627405
2019;10;Halkapınar Kuyuları;2623468
2019;10;Pınarbaşı Kuyuları;158751
2019;10;Buca ve Sarnıç Kuyuları;99479
2019;10;Gördes Barajı;0
2019;10;Göksu Kuyuları;5559088
2019;10;Alaçatı Kutlu Aktaş Barajı;545547
2019;9;Tahtalı Barajı;7877100
2019;9;Balçova Barajı;1018170
2019;9;Ürkmez Barajı;139836
2019;9;Sarıkız Kuyuları;1787680
2019;9;Menemen - Çavuşköy Kuyuları;1632322
2019;9;Halkapınar Kuyuları;2584920
2019;9;Pınarbaşı Kuyuları;155839
2019;9;Buca ve Sarnıç Kuyuları;101050
2019;9;Gördes Barajı;0
2019;9;Göksu Kuyuları;5323920
2019;9;Alaçatı Kutlu Aktaş Barajı;434561
2019;8;Tahtalı Barajı;8738800
2019;8;Balçova Barajı;1196520
2019;8;Ürkmez Barajı;224015
2019;8;Sarıkız Kuyuları;1667872
2019;8;Menemen - Çavuşköy Kuyuları;1582589
2019;8;Halkapınar Kuyuları;3194600
2019;8;Pınarbaşı Kuyuları;165920
2019;8;Buca ve Sarnıç Kuyuları;106444
2019;8;Gördes Barajı;0
2019;8;Göksu Kuyuları;4998128
2019;8;Alaçatı Kutlu Aktaş Barajı;628125
2019;8;Tahtalı Barajı;8738800
2019;8;Balçova Barajı;1196520
2019;8;Ürkmez Barajı;224015
2019;8;Sarıkız Kuyuları;1667872
2019;8;Menemen - Çavuşköy Kuyuları;1582589
2019;8;Halkapınar Kuyuları;3194600
2019;8;Pınarbaşı Kuyuları;165920
2019;8;Buca ve Sarnıç Kuyuları;106444
2019;8;Gördes Barajı;0
2019;8;Göksu Kuyuları;4998128
2019;8;Alaçatı Kutlu Aktaş Barajı;628125
2019;7;Tahtalı Barajı;8195300
2019;7;Balçova Barajı;1261050
2019;7;Ürkmez Barajı;220279
2019;7;Sarıkız Kuyuları;1781208
2019;7;Menemen - Çavuşköy Kuyuları;1449830
2019;7;Halkapınar Kuyuları;3005240
2019;7;Pınarbaşı Kuyuları;169530
2019;7;Buca ve Sarnıç Kuyuları;93720
2019;7;Gördes Barajı;0
2019;7;Göksu Kuyuları;5666592
2019;7;Alaçatı Kutlu Aktaş Barajı;586258
2019;6;Tahtalı Barajı;7287600
2019;6;Balçova Barajı;921240
2019;6;Ürkmez Barajı;179773
2019;6;Sarıkız Kuyuları;1773912
2019;6;Menemen - Çavuşköy Kuyuları;1340992
2019;6;Halkapınar Kuyuları;3121292
2019;6;Pınarbaşı Kuyuları;157423
2019;6;Buca ve Sarnıç Kuyuları;92727
2019;6;Gördes Barajı;0
2019;6;Göksu Kuyuları;5398688
2019;6;Alaçatı Kutlu Aktaş Barajı;550453
2019;5;Tahtalı Barajı;6993500
2019;5;Balçova Barajı;677240
2019;5;Ürkmez Barajı;114431
2019;5;Sarıkız Kuyuları;2034336
2019;5;Menemen - Çavuşköy Kuyuları;1492580
2019;5;Halkapınar Kuyuları;3244600
2019;5;Pınarbaşı Kuyuları;167383
2019;5;Buca ve Sarnıç Kuyuları;93092
2019;5;Gördes Barajı;0
2019;5;Göksu Kuyuları;5466064
2019;5;Alaçatı Kutlu Aktaş Barajı;553515
2019;4;Tahtalı Barajı;5826600
2019;4;Balçova Barajı;755740
2019;4;Ürkmez Barajı;78199
2019;4;Sarıkız Kuyuları;1864684
2019;4;Menemen - Çavuşköy Kuyuları;1428225
2019;4;Halkapınar Kuyuları;2725560
2019;4;Pınarbaşı Kuyuları;147384
2019;4;Buca ve Sarnıç Kuyuları;79060
2019;4;Gördes Barajı;0
2019;4;Göksu Kuyuları;5373616
2019;4;Alaçatı Kutlu Aktaş Barajı;503984
2019;3;Tahtalı Barajı;6299600
2019;3;Balçova Barajı;145440
2019;3;Ürkmez Barajı;70345
2019;3;Sarıkız Kuyuları;2003528
2019;3;Menemen - Çavuşköy Kuyuları;1482718
2019;3;Halkapınar Kuyuları;2715748
2019;3;Pınarbaşı Kuyuları;173649
2019;3;Buca ve Sarnıç Kuyuları;66431
2019;3;Gördes Barajı;0
2019;3;Göksu Kuyuları;5417872
2019;3;Alaçatı Kutlu Aktaş Barajı;638401
2019;2;Tahtalı Barajı;5815700
2019;2;Balçova Barajı;0
2019;2;Ürkmez Barajı;60968
2019;2;Sarıkız Kuyuları;1762292
2019;2;Menemen - Çavuşköy Kuyuları;1101705
2019;2;Halkapınar Kuyuları;2489762
2019;2;Pınarbaşı Kuyuları;106657
2019;2;Buca ve Sarnıç Kuyuları;60007
2019;2;Gördes Barajı;0
2019;2;Göksu Kuyuları;4790608
2019;2;Alaçatı Kutlu Aktaş Barajı;545478
2019;1;Göksu Kuyuları;4797715
2019;1;Tahtalı Barajı;6932600
2019;1;Balçova Barajı;0
2019;1;Ürkmez Barajı;69783
2019;1;Güzelhisar Barajı;0
2019;1;Sarıkız Kuyuları;2583385
2019;1;Menemen - Çavuşköy Kuyuları;1137154
2019;1;Halkapınar Kuyuları;2312520
2019;1;Pınarbaşı Kuyuları;102221
2019;1;Buca ve Sarnıç Kuyuları;64121
2019;1;Gördes Barajı;0
2019;1;Alaçatı Kutlu Aktaş Barajı;215342
2019;1;Ödemiş İçme Suyu Arıtma Tesisleri;0
2018;12;Alaçatı Kutlu Aktaş Barajı;175120
2018;12;Ödemiş İçme Suyu Arıtma Tesisleri;275280
2018;12;Buca ve Sarnıç Kuyuları;0
2018;12;Gördes Barajı;0
2018;12;Ürkmez Barajı;70734
2018;12;Güzelhisar Barajı;140732
2018;12;Sarıkız Kuyuları;1941200
2018;12;Menemen - Çavuşköy Kuyuları;1342924
2018;12;Halkapınar Kuyuları;2727910
2018;12;Pınarbaşı Kuyuları;83704
2018;12;Göksu Kuyuları;5485800
2018;12;Tahtalı Barajı;6336700
2018;12;Balçova Barajı;99360
2018;11;Balçova Barajı;323910
2018;11;Tahtalı Barajı;6083100
2018;11;Göksu Kuyuları;5557280
2018;11;Halkapınar Kuyuları;2680740
2018;11;Menemen - Çavuşköy Kuyuları;1472149
2018;11;Sarıkız Kuyuları;1652720
2018;11;Güzelhisar Barajı;134282
2018;11;Ürkmez Barajı;73729
2018;11;Gördes Barajı;0
2018;11;Buca ve Sarnıç Kuyuları;0
2018;11;Pınarbaşı Kuyuları;94214
2018;11;Ödemiş İçme Suyu Arıtma Tesisleri;96544
2018;11;Alaçatı Kutlu Aktaş Barajı;211782
2018;10;Alaçatı Kutlu Aktaş Barajı;326456
2018;10;Ödemiş İçme Suyu Arıtma Tesisleri;73872
2018;10;Buca ve Sarnıç Kuyuları;0
2018;10;Gördes Barajı;0
2018;10;Ürkmez Barajı;90291
2018;10;Güzelhisar Barajı;136277
2018;10;Sarıkız Kuyuları;2202086
2018;10;Menemen - Çavuşköy Kuyuları;1211756
2018;10;Halkapınar Kuyuları;2705780
2018;10;Pınarbaşı Kuyuları;100011
2018;10;Tahtalı Barajı;7163200
2018;10;Balçova Barajı;435660
2018;10;Göksu Kuyuları;5190114
2018;9;Göksu Kuyuları;5220864
2018;9;Balçova Barajı;617540
2018;9;Tahtalı Barajı;8160100
2018;9;Pınarbaşı Kuyuları;118374
2018;9;Halkapınar Kuyuları;2524630
2018;9;Menemen - Çavuşköy Kuyuları;1319224
2018;9;Sarıkız Kuyuları;1971936
2018;9;Güzelhisar Barajı;130428
2018;9;Ürkmez Barajı;136580
2018;9;Gördes Barajı;0
2018;9;Buca ve Sarnıç Kuyuları;0
2018;9;Ödemiş İçme Suyu Arıtma Tesisleri;74120
2018;9;Alaçatı Kutlu Aktaş Barajı;431615
2018;8;Ödemiş İçme Suyu Arıtma Tesisleri;103862
2018;8;Buca ve Sarnıç Kuyuları;0
